FDR Drive,40.7426684,-73.9723522,40.7422847,-73.9725238
West 129th Street,40.810318,-73.943625,40.8114793,-73.9464014
East 117th Street,40.7986248,-73.9395221,40.7993007,-73.9411255
Battery Place,40.70684,-74.017575,40.707462,-74.01712
Robert F. Kennedy Bridge,40.7998412,-73.9264398,40.801049,-73.9292773
Centre Street,40.714596,-74.0024324,40.7151767,-74.0021357
Hudson River Greenway,40.8615648,-73.9349387,40.8619442,-73.9346747
West 187th Street,40.8553921,-73.9377353,40.8553664,-73.9376583
East River Greenway,40.7070515,-74.0011851,40.7066814,-74.0018235
Laight Street,40.7223098,-74.011653,40.7223359,-74.0118504
Columbus Avenue,40.7877937,-73.9712227,40.7871636,-73.9716824
West 120th Street,40.808671,-73.957617,40.8093313,-73.9592062
East Drive,40.771955,-73.969203,40.7722584,-73.9690251
1st Avenue,40.7519959,-73.9676719,40.7521536,-73.9675921
East Drive,40.7882671,-73.9568873,40.7883358,-73.9568817
Mercer Street,40.724632,-73.998585,40.723423,-73.999609
West Drive,40.778338,-73.973017,40.7780419,-73.9735107
West 19th Street,40.744035,-74.003116,40.745231,-74.00596
Chambers Street,40.713135,-74.004059,40.713475,-74.004819
Frawley Circle,40.7965722,-73.9492018,40.7965985,-73.9490913
8th Avenue,40.7635286,-73.9852025,40.7641597,-73.9847416
Henry Hudson Parkway,40.8471178,-73.9444519,40.8474489,-73.9442803
Edgecombe Avenue,40.819628,-73.946065,40.820255,-73.945613
Manhattan Avenue,40.7967202,-73.9628856,40.7973475,-73.9624256
Sherman Avenue,40.865797,-73.919996,40.866315,-73.918596
86th St Transverse,40.7830613,-73.9637446,40.7831364,-73.9638024
FDR Drive,40.7035253,-74.0164359,40.7042956,-74.0165908
West 155th Street,40.8332352,-73.9469172,40.8328285,-73.9459609
8th Avenue,40.7641597,-73.9847416,40.7647769,-73.984294
FDR Drive,40.7671296,-73.9503897,40.7668306,-73.95063
Brooklyn Bridge Promenade,40.7068012,-73.9977399,40.7062054,-73.9969889
West 24th Street,40.745952,-73.998009,40.744763,-73.995161
FDR Drive,40.7286313,-73.9716634,40.7289305,-73.9717063
East 14th Street,40.732347,-73.984941,40.7313565,-73.982557
West 27th Street,40.745421,-73.990968,40.746618,-73.993813
5th Avenue,40.799961,-73.946974,40.798129,-73.948311
West 165th Street,40.840193,-73.943066,40.840928,-73.9444955
2nd Avenue,40.7662424,-73.9602312,40.7656116,-73.9606918
Beaver Street,40.705148,-74.009984,40.7049909,-74.0115503
Bleecker Street,40.7265273,-73.9958473,40.7261336,-73.9950576
10th Avenue,40.749592,-74.002785,40.750209,-74.002332
West 24th Street,40.7460444,-73.9990518,40.7460279,-73.9989557
Lexington Avenue,40.782055,-73.9537187,40.7814292,-73.9541758
Vesey Street,40.7138161,-74.0142454,40.713952,-74.0143262
Brooklyn Bridge Promenade,40.7123666,-74.0047432,40.7121832,-74.004522
23rd Terrace,40.777955,-73.922002,40.777155,-73.920861
Manhattan Bridge Bike Path,40.7100274,-73.9919426,40.7099674,-73.9919083
West 54th Street,40.7631181,-73.9803184,40.762396,-73.978601
West 88th Street,40.7895455,-73.97542,40.7889871,-73.9740595
Mott Street,40.7234213,-73.9947395,40.7232875,-73.9948037
Bradhurst Avenue,40.8260841,-73.9408362,40.826414,-73.940595
7th Avenue,40.741056,-73.997862,40.74047,-73.998287
Broadway,40.7876892,-73.9771797,40.7870782,-73.9776997
Hudson River Greenway,40.8631123,-73.9339322,40.8634967,-73.9337407
Washington Street,40.734791,-74.008436,40.734477,-74.008462
Hudson River Greenway,40.7687346,-73.9957134,40.7685379,-73.9958532
Tibbett Avenue,40.8781974,-73.9134692,40.8783218,-73.9132996
West Drive,40.7995259,-73.9575154,40.7995476,-73.9576086
Amsterdam Avenue,40.8214395,-73.9503639,40.8220613,-73.9499097
Hudson River Greenway,40.7288694,-74.0109639,40.7287154,-74.010939
East 10th Street,40.7246728,-73.9742408,40.7246842,-73.9742923
East 31st Street,40.7428838,-73.9772706,40.743825,-73.979508
Columbus Circle,40.7684165,-73.9818828,40.7684151,-73.9819359
