Washington Street,42.3648547,-71.0962494,42.364722,-71.0956283,39.0,54.0
Cambridgepark Drive,42.3946407,-71.1434795,42.3946398,-71.1434168,4.0,5.0
Broadway,42.368903,-71.099962,42.368793,-71.099699,17.0,24.0
Holly Avenue,42.382338,-71.129072,42.382725,-71.129678,46.0,66.0
Larchwood Drive,42.377151,-71.143073,42.376978,-71.143164,13.0,18.0
Mount Vernon Street,42.387123,-71.12127,42.387214,-71.120546,44.0,60.0
Auburn Street,42.363979,-71.105702,42.36428,-71.106224,38.0,53.0
Soldiers Field Road,42.3694828,-71.1303582,42.3692479,-71.130402,19.0,26.0
Concord Avenue,42.3957148,-71.1750208,42.3957508,-71.1751827,8.0,13.0
Sacramento Street,42.382549,-71.114104,42.382555,-71.113968,7.0,10.0
Medford Street,42.3740874,-71.0880058,42.3740242,-71.0879354,6.0,9.0
Fairview Avenue,42.379179,-71.158342,42.379135,-71.15779,33.0,47.0
Morrison Avenue,42.395654,-71.115603,42.395492,-71.114956,40.0,54.0
Webster Avenue,42.370517,-71.093532,42.370653,-71.093475,11.0,16.0
Concord Avenue,42.3949985,-71.172387,42.3957148,-71.1750208,175.0,230.0
Blanchard Road,42.388732,-71.157381,42.388943,-71.157345,16.0,25.0
Concord Avenue,42.383355,-71.133038,42.383276,-71.132855,14.0,18.0
Fairmount Street,42.401861,-71.138505,42.402265,-71.137888,50.0,67.0
Clement Circle,42.38129,-71.131299,42.381284,-71.131401,5.0,7.0
Everett Street,42.379875,-71.11781,42.379856,-71.117222,33.0,46.0
Coolidge Hill,42.3724949,-71.1383658,42.372496,-71.1382522,7.0,9.0
Gray Gardens West,42.383306,-71.129227,42.383322,-71.129185,3.0,5.0
Dr. Paul Dudley White Path,42.3673294,-71.0738243,42.3672955,-71.0738321,3.0,4.0
Broadway,42.371195,-71.10575,42.37119,-71.105738,0.0,0.0
Cambridgepark Drive,42.3946036,-71.1422568,42.3945978,-71.1422083,3.0,4.0
Boston Avenue,42.398265,-71.110441,42.398928,-71.110909,61.0,84.0
Amherst Street,42.3607932,-71.0853111,42.3610927,-71.0843568,60.0,84.0
Vassal Lane,42.382024,-71.1351,42.381836,-71.134846,22.0,29.0
Dr. Paul Dudley White Path,42.3659884,-71.1366213,42.3660315,-71.136578,4.0,6.0
Lakeview Avenue,42.383349,-71.140861,42.383925,-71.141065,47.0,66.0
Concord Avenue,42.3881285,-71.1433812,42.3880604,-71.1432458,10.0,13.0
Broadway,42.3701396,-71.1030903,42.370077,-71.102933,11.0,15.0
Washington Street,42.365043,-71.097096,42.365048,-71.09712,0.0,0.0
Dr. Paul Dudley White Path,42.3730288,-71.1282655,42.3729855,-71.1281516,8.0,11.0
Pearl Street,42.362227,-71.105308,42.362,-71.105553,23.0,31.0
