40.7386869,-73.9958737,6th Avenue,West 16th Street
40.7398526,-73.9950216,6th Avenue,West 18th Street
40.7428904,-73.992803,6th Avenue,West 23rd Street
40.747235,-73.993359,7th Avenue,West 28th Street
40.7309469,-73.9739165,Avenue C,East River Greenway
40.7354336,-73.9751248,East 23rd Street,Avenue C
40.7373569,-73.9968723,West 14th Street,6th Avenue
40.7386869,-73.9958737,6th Avenue,West 16th Street
40.7378063,-73.9901465,East 18th Street,Broadway
40.7398528,-73.9895645,Broadway,East 21st Street
40.7430282,-73.9891702,West 25th Street,Broadway
40.7460459,-73.9886244,West 29th Street,Broadway
40.7382759,-73.9876717,East 20th Street,Park Avenue South
40.7401577,-73.9863155,East 23rd Street,Park Avenue South
40.7408207,-73.9858345,East 24th Street,Park Avenue South
40.7414789,-73.9854932,East 25th Street,Park Avenue South
40.7426449,-73.982462,Lexington Avenue,East 28th Street
40.7484326,-73.9845368,East 34th Street,5th Avenue
40.7521984,-73.9818312,West 40th Street,5th Avenue
40.7485077,-73.9887129,West 32nd Street,6th Avenue
40.7497824,-73.9877574,West 34th Street,6th Avenue
40.7510839,-73.98685,West 36th Street,6th Avenue
40.7202827,-74.0052172,West Broadway,Beach St
40.7516796,-73.9901898,West 35th Street,7th Avenue
40.7522877,-73.9897059,West 36th Street,7th Avenue
40.7535154,-73.9887829,West 38th Street,7th Avenue
40.7496662,-73.9953026,8th Avenue,West 30th Street
40.75219,-73.993464,8th Avenue,West 34th Street
40.752857,-73.9929789,8th Avenue,West 35th Street
40.7502703,-73.9986404,West 29th Street,9th Avenue
40.7509019,-73.9981651,West 30th Street,9th Avenue
40.7533925,-73.9963114,West 34th Street,9th Avenue
40.746649,-73.9900671,6th Avenue,West 29th Street
40.746465,-73.983897,Madison Avenue,East 32nd Street
40.7458216,-73.9823478,East 32nd Street,Park Avenue South
40.747765,-73.982957,Madison Avenue,East 34th Street
40.7471157,-73.9814401,Park Avenue,East 34th Street
40.7534835,-73.9787871,East 43rd Street,Madison Avenue
40.7437837,-73.9735098,1st Avenue,East 34th Street
40.7450385,-73.9725582,East 36th Street,1st Avenue
40.7434905,-73.9768253,2nd Avenue,East 32nd Street
40.7447687,-73.9758772,East 34th Street,2nd Avenue
40.7454339,-73.9753831,East 35th Street,2nd Avenue
40.7466704,-73.9744801,East 37th Street,2nd Avenue
40.7472939,-73.9740482,2nd Avenue,East 38th Street
40.7504683,-73.9717089,2nd Avenue,East 43rd Street
40.7529921,-73.9698797,2nd Avenue,East 47th Street
40.7536341,-73.9694308,2nd Avenue,East 48th Street
40.7457167,-73.9781195,3rd Avenue,East 34th Street
40.7520659,-73.973483,East 44th Street,3rd Avenue
40.7450887,-73.9806461,Lexington Avenue,East 32nd Street
40.7444901,-73.9752363,East 34th Street,Tunnel Entrance Street
40.7477843,-73.9809492,East 35th Street,Park Avenue
40.7490167,-73.9800373,East 37th Street,Park Avenue
40.7515205,-73.980225,East 40th Street,Madison Avenue
40.7065802,-74.0126715,Broadway,Exchange Plaza
40.706483,-74.012274,Exchange Place,New Street
40.7066529,-74.012566,Broadway,Exchange Plaza
40.713173,-73.978181,Grand Street,FDR Drive
40.713173,-73.978181,Grand Street,FDR Drive
40.713173,-73.978181,Grand Street,FDR Drive
40.4576898,-80.0275078,Manhattan Street,Columbus Avenue
40.7092391,-74.0104962,Broadway,Liberty Street
40.7218599,-74.0053841,Canal Street,6th Avenue
40.7255361,-74.0045795,Spring Street,6th Avenue
40.7236071,-74.0048269,Watts Street,6th Avenue
40.7045311,-74.014334,Battery Place,State Street
40.704827,-74.0156739,Battery Place,Washington Street
40.7017757,-74.0111683,South Street,Broad Street
40.7213516,-74.0046573,Canal Street,West Broadway
40.709415,-74.010422,Broadway,Liberty Street
40.7233243,-74.0029716,West Broadway,Broome Street
40.7225258,-74.0063549,Varick Street,Canal Street
40.7252032,-74.011278,Canal Street,West Street
40.7093129,-74.0119548,Cedar Street,Trinity Place
40.7162999,-74.01099,Chambers Street,Greenwich Street
40.7143481,-74.0083881,Church Street,Warren Street
40.716558,-74.0083982,West Broadway,Duane Street
40.710902,-74.0036499,Gold Street,Frankfort Street
40.7227535,-74.0097024,Vestry Street,Greenwich Street
40.704168,-74.0088496,Water Street,Old Slip
40.7055332,-74.0079158,Wall Street,Pearl Street
40.725747,-74.000919,West Broadway,Prince Street
40.7248576,-74.0026519,Thompson Street,Spring Street
40.7245297,-74.0019413,West Broadway,Spring Street
40.7024346,-74.0128434,State Street Plaza,Whitehall Street
40.7040552,-74.0131934,Whitehall Street,Broadway
40.7051717,-74.0074002,Water Street,Wall Street
40.702477,-74.0131,State Street Plaza,Whitehall Street
40.7176207,-74.0075676,West Broadway,Worth Street
40.7159175,-73.9993322,Bayard Street,Mulberry Street
40.7161262,-73.9960786,Manhattan Bridge,The Bowery
40.7203207,-73.993972,The Bowery,Delancey Street
40.7184265,-73.9948271,The Bowery,Grand Street
40.7203505,-73.9941041,Delancey Street,The Bowery
40.7233243,-74.0029716,West Broadway,Broome Street
40.7268543,-73.9999795,West Broadway,West Houston Street
40.7148298,-73.9829743,Grand Street,East Broadway
40.71945,-74.0061372,West Broadway,White Street
40.7190552,-73.9934108,Broome Street,Chrystie Street
40.7198328,-73.9952731,Elizabeth Street,Broome Street
40.7189272,-74.00131,Broadway,Lispenard Street
40.7153169,-73.9934349,Eldridge Street,Canal Street
40.7155747,-73.9942892,Forsyth Street,Manhattan Bridge Bike Path
40.7184111,-74.0005723,Lafayette Street,Canal Street
40.7170734,-73.9986093,Mulberry Street,Walker Street
40.7092314,-73.9959694,South Street,Catherine Slip
40.7092314,-73.9959694,South Street,Catherine Slip
40.7151705,-74.0021222,Worth Street,Centre Street
40.7200098,-73.992885,Delancey Street,Chrystie Street
40.7214187,-73.9974193,Cleveland Place,Kenmare Street
40.7252558,-73.9958044,East Houston Street,Crosby Street
40.7204094,-73.999887,Crosby Street,Grand Street
40.7226476,-73.9979801,Crosby Street,Spring Street
40.7137023,-73.9939356,Forsyth Street,East Broadway
40.7167283,-74.0020781,Lafayette Street,Franklin Street
40.7178317,-73.9971593,Mott Street,Hester Street
40.7222705,-73.9971417,Lafayette Street,Cleveland Place
40.713256,-73.9982496,Oliver Street,Saint James Place
40.7346736,-73.9945869,West 12th Street,5th Avenue
40.7322406,-73.9963773,5th Avenue,West 8th Street
40.7360044,-73.993644,West 14th Street,5th Avenue
40.7322406,-73.9963773,5th Avenue,West 8th Street
40.7360246,-73.9978085,6th Avenue,West 12th Street
40.736676,-73.9973593,West 13th Street,6th Avenue
