lat,lng
30.1326418432,-95.0326307996
30.12615372,-95.910845
30.1261534219,-95.9019747338
30.1261531239,-95.8931044676
30.1261528258,-95.8842342015
30.1261525277,-95.8753639354
30.1261522296,-95.8664936693
30.1261519316,-95.8576234032
30.1261516335,-95.8487531372
30.1261513354,-95.8398828712
30.1261510374,-95.8310126052
30.1261507393,-95.8221423392
30.1261504412,-95.8132720733
30.1261501431,-95.8044018074
30.1261498451,-95.7955315415
30.126149547,-95.7866612757
30.1261492489,-95.7777910099
30.1261489509,-95.7689207441
30.1261486528,-95.7600504783
30.1261483547,-95.7511802126
30.1261480566,-95.7423099469
30.1261477586,-95.7334396812
30.1261474605,-95.7245694155
30.1261471624,-95.7156991499
30.1261468644,-95.7068288843
30.1261465663,-95.6979586187
30.1261462682,-95.6890883531
30.1261459702,-95.6802180876
30.1261456721,-95.6713478221
30.126145374,-95.6624775566
30.1261450759,-95.6536072912
30.1261447779,-95.6447370258
30.1261444798,-95.6358667604
30.1261441817,-95.626996495
30.1261438837,-95.6181262297
30.1261435856,-95.6092559644
30.1261432875,-95.6003856991
30.1261429894,-95.5915154338
30.1261426914,-95.5826451686
30.1261423933,-95.5737749034
30.1261420952,-95.5649046382
30.1261417972,-95.5560343731
30.1261414991,-95.5471641079
30.126141201,-95.5382938428
30.1261409029,-95.5294235778
30.1261406049,-95.5205533127
30.1261403068,-95.5116830477
30.1261400087,-95.5028127827
30.1261397107,-95.4939425178
30.1261394126,-95.4850722528
30.1261391145,-95.4762019879
30.1261388164,-95.467331723
30.1261385184,-95.4584614582
30.1261382203,-95.4495911933
30.1261379222,-95.4407209285
30.1261376242,-95.4318506638
30.1261373261,-95.422980399
30.126137028,-95.4141101343
30.12613673,-95.4052398696
30.1261364319,-95.3963696049
30.1261361338,-95.3874993403
30.1261358357,-95.3786290757
30.1261355377,-95.3697588111
30.1261352396,-95.3608885465
30.1261349415,-95.352018282
30.1261346435,-95.3431480175
30.1261343454,-95.334277753
30.1261340473,-95.3254074885
30.1261337492,-95.3165372241
30.1261334512,-95.3076669597
30.1261331531,-95.2987966953
30.126132855,-95.289926431
30.126132557,-95.2810561667
30.1261322589,-95.2721859024
30.1261319608,-95.2633156381
30.1261316627,-95.2544453739
30.1261313647,-95.2455751096
30.1261310666,-95.2367048455
30.1261307685,-95.2278345813
30.1261304705,-95.2189643172
30.1261301724,-95.210094053
30.1261298743,-95.201223789
30.1261295763,-95.1923535249
30.1261292782,-95.1834832609
30.1261289801,-95.1746129969
30.126128682,-95.1657427329
30.126128384,-95.156872469
30.1261280859,-95.1480022051
30.1261277878,-95.1391319412
30.1261274898,-95.1302616773
30.1261271917,-95.1213914135
30.1261268936,-95.1125211496
30.1261265955,-95.1036508859
30.1261262975,-95.0947806221
30.1261259994,-95.0859103584
30.1261257013,-95.0770400947
30.1261254033,-95.068169831
30.1261251052,-95.0592995673
30.1261248071,-95.0504293037
30.126124509,-95.0415590401
30.126124211,-95.0326887765
30.11963608,-95.910845
30.119635782,-95.9019753192
30.119635484,-95.8931056385
30.119635186,-95.8842359578
30.119634888,-95.8753662771
30.11963459,-95.8664965965
30.119634292,-95.8576269158
30.119633994,-95.8487572352
30.1196336961,-95.8398875547
30.1196333981,-95.8310178741
30.1196331001,-95.8221481936
30.1196328021,-95.8132785131
30.1196325041,-95.8044088326
30.1196322061,-95.7955391522
30.1196319081,-95.7866694718
30.1196316101,-95.7777997914
30.1196313121,-95.768930111
30.1196310141,-95.7600604307
30.1196307161,-95.7511907504
30.1196304181,-95.7423210701
30.1196301201,-95.7334513899
30.1196298221,-95.7245817096
30.1196295242,-95.7157120294
30.1196292262,-95.7068423493
30.1196289282,-95.6979726691
30.1196286302,-95.689102989
30.1196283322,-95.6802333089
30.1196280342,-95.6713636288
30.1196277362,-95.6624939488
30.1196274382,-95.6536242688
30.1196271402,-95.6447545888
30.1196268422,-95.6358849088
30.1196265442,-95.6270152289
30.1196262462,-95.618145549
30.1196259482,-95.6092758691
30.1196256502,-95.6004061893
30.1196253523,-95.5915365094
30.1196250543,-95.5826668296
30.1196247563,-95.5737971499
30.1196244583,-95.5649274701
30.1196241603,-95.5560577904
