461,Dekum Street,23rd Avenue
462,111th Avenue,Holgate Boulevard
463,Bank Street,Mohawk Avenue
464,128th Avenue,Yukon Court
465,Division Street,11th Avenue
466,Jackson Street,Broadway
467,Overlook Boulevard,Interstate Avenue
468,11th Avenue,Hawthorne Boulevard
469,Pine Street,3rd Avenue
470,Harold Street,104th Avenue
471,Sandy Boulevard,47th Avenue
472,Stark Street,29th Avenue
473,Taylor Street,36th Avenue
474,Holgate Boulevard,28th Avenue
475,Holman Street,33rd Avenue
476,6th Avenue,Morrison Street
477,Hawthorne Boulevard,50th Avenue
478,Failing Street,Vancouver Avenue
479,Gladstone Street,22nd Avenue
480,Pacific Street,20th Avenue
481,11th Avenue,Hawthorne Boulevard
482,Broadway,Yamhill Street
483,Williams Avenue,Broadway
484,174th Avenue,Division Street
485,Weidler Street,14th Avenue
486,Multnomah Boulevard,40th Avenue
487,162nd Avenue,Division Street
488,Bybee Boulevard,23rd Avenue
489,12th Avenue,Glisan Street
490,Farragut Street,Delaware Avenue
491,Couch Street,Grand Avenue
492,Station Way,Broadway
493,Fremont Street,7th Avenue
494,Market Street,96th Avenue
495,Monroe Street,Vancouver Avenue
496,Northrup Street,23rd Avenue
497,Barbur Boulevard,View Point
498,Fremont Street,Martin Luther
499,Morrison Street,9th Avenue
500,Everett Street,Broadway
501,Powell Boulevard,82nd Avenue
502,Holgate Boulevard,92nd Avenue
503,Lombard Street,Villard Avenue
504,Ainsworth Street,Interstate Avenue
505,Washington Street,96th Avenue
506,Killingsworth Street,Kerby Avenue
507,19th Avenue,Sandy Boulevard
508,Morrison Street,20th Avenue
509,Market Street,4th Avenue
510,Greeley Avenue,Boulevard Trail
511,Couch Street,Grand Avenue
512,Belmont Street,35th Avenue
513,Benton Avenue,Broadway
514,Lloyd Boulevard,16th Drive
515,Stark Street,47th Avenue
516,11th Avenue,Belmont Street
517,Division Street,11th Avenue
518,Rosa Parks,Campbell Avenue
519,Division Street,84th Avenue
520,Dekum Street,6th Avenue
521,6th Avenue,Market Street
522,Irving Street,Broadway
523,Lombard Street,Baltimore Avenue
524,Naito Parkway,Greenway Trail
525,Clinton Street,41st Avenue
526,Foster Road,Corridor
527,Weidler Street,7th Avenue
528,Interstate Avenue,Wheeler Avenue
529,Going Street,36th Avenue
530,3rd Avenue,Burnside Street
531,Killingsworth Street,Minnesota Avenue
532,Couch Street,Cesar E
533,Clay Street,Naito Parkway
534,Going Street,Garfield Avenue
535,Alberta Street,55th Avenue
536,2nd Avenue,Burnside Street
537,Davis Street,2nd Avenue
538,Gladstone Street,22nd Avenue
539,Salmon Street,8th Avenue
540,Martin Luther,Ainsworth Street
541,82nd Avenue,Insley Street
542,Vermont Street,Idaho Terrace
543,20th Avenue,Hawthorne Boulevard
544,82nd Avenue,Boise Street
545,46th Avenue,Knight Street
546,7th Avenue,Holladay Street
547,Lincoln Street,30th Avenue
548,Francis Street,42nd Avenue
549,Powell Boulevard,115th Avenue
550,17th Avenue,Broadway
551,Salmon Street,20th Avenue
552,Fremont Street,122nd Avenue
553,Vermont Street,Capitol Highway
554,Hawthorne Boulevard,34th Avenue
555,7th Avenue,Dolph Street
556,Division Street,96th Drive
557,Bond Avenue,Gaines Street
558,Lombard Street,Montana Avenue
559,Burnside Street,Oak Street
560,Division Street,34th Avenue
561,Larrabee Avenue,Broadway
562,Lincoln Street,Cesar E
563,82nd Avenue,Taggart Street
564,26th Avenue,Ivon Street
565,Lombard Street,Stafford Street
566,86th Avenue,Foster Road
567,111th Avenue,Holgate Boulevard
568,Yamhill Street,88th Avenue
569,Everett Street,10th Avenue
570,Lombard Street,15th Avenue
571,Woodward Street,Cesar E
572,Madison Street,3rd Avenue
573,Clinton Street,16th Avenue
