45.5350952778,-122.666636111,Broadway,Williams Avenue
45.5193305556,-122.645525,20th Avenue,Stark Street
45.5197166667,-122.537758333,122nd Avenue,Oak Street
45.4856252778,-122.586630556,Foster Road,74th Avenue
45.46025,-122.686991667,Primrose Street,8th Avenue
45.537775,-122.623980556,Tillamook Street,38th Avenue
45.5185738889,-122.637083333,Washington Street,28th Avenue
45.5864166667,-122.752726667,Willamette Boulevard,Richmond Avenue
45.5122305556,-122.659369444,Hawthorne Boulevard,6th Avenue
45.5207388889,-122.645502778,Pine Street,20th Avenue
45.5053777778,-122.585255,Division Street,76th Avenue
45.5351619444,-122.634994444,Broadway,30th Avenue
45.5437777778,-122.666655556,Stanton Street,Williams Avenue
45.5122138889,-122.654691667,11th Avenue,Hawthorne Boulevard
45.5019388889,-122.678705556,1st Avenue,Hooker Street
45.5663111111,-122.68406,Ainsworth Street,Concord Avenue
45.5338005556,-122.620319444,Halsey Street,42nd Avenue
45.4979444444,-122.639616667,Powell Boulevard,26th Avenue
45.5164972222,-122.658672222,7th Avenue,Belmont Street
45.4712194444,-122.681197222,Barbur Boulevard,Miles Street
45.5584555556,-122.563686111,Sandy Boulevard,96th Avenue
45.5228694444,-122.599591667,Burnside Street,62nd Avenue
45.5912666667,-122.750651667,Central Street,Charleston Avenue
45.5335925,-122.644836111,21st Avenue,Halsey Street
45.6124166667,-122.704766667,Portland Road,Suttle Road
45.5687791667,-122.600551667,Columbia Boulevard,60th Avenue
45.5124666667,-122.667911111,Freeway,Bridge
45.4761416667,-122.702410556,Vermont Street,Capitol Highway
45.5627361111,-122.661036111,Killingsworth Street,Martin Luther
45.5260361111,-122.677547222,Broadway,Flanders Street
45.5330333333,-122.666742778,Wheeler Avenue,Wheeler Avenue
45.498,-122.639616667,26th Avenue,Powell Boulevard
45.534885,-122.668813056,Broadway,Wheeler Avenue
45.5771416667,-122.681322222,Lombard Street,Interstate Avenue
45.5081055556,-122.677377778,Naito Parkway,Hall Street
45.5227833333,-122.57945,Burnside Street,82nd Avenue
45.514925,-122.677330556,Madison Street,3rd Avenue
45.4913444444,-122.677875,Barbur Boulevard,View Point
45.5717861111,-122.661358333,Dekum Street,Martin Luther
45.5138611111,-122.679086111,Columbia Street,4th Avenue
45.5226388889,-122.558288889,102nd Avenue,102nd Avenue
